date,return_xm,ma_gap,rsi_14,vol_ratio,phone_pos,phone_neg,car_pos,car_neg,iot_pos,iot_neg,return_hsi
2025-07-24,0.0009407337723426057,0.0005207100591715277,55.30303030303032,1.0670166675781274,0,1,1,0,1,1,0.005053359486685061
2025-07-25,-0.015037593984962516,0.0012300123001229581,50.69444444444446,2.8831554890230193,1,0,1,0,0,0,-0.010860816160012332
2025-07-28,-0.00858778625954193,-0.0006634442232961707,37.98449612403103,0.37076504971908875,0,0,0,0,1,0,0.006844428590538243
2025-07-29,-0.024061597690086645,-0.005469158700717881,36.0294117647059,1.9671590901889209,1,0,1,1,1,0,-0.00148358096587764
2025-07-30,-0.012820512820512886,-0.012803363271545855,35.25179856115108,1.8250025347257426,1,0,0,0,0,0,-0.01346077083425734
2025-07-31,-0.024975024975025018,-0.025850079132895103,25.806451612903274,0.6251072923264528,0,0,0,0,0,0,-0.016027154000044952
2025-08-01,0.009221311475409832,-0.034927354950447374,30.434782608695713,0.500971814427752,1,0,1,0,0,0,-0.010725544843971258
2025-08-04,0.015228426395939021,-0.04030858244937312,34.88372093023257,0.5129703968362849,0,0,1,1,1,1,0.009213823043794589
2025-08-05,-0.007199999999999984,-0.04082699343748188,33.86004514672689,0.3677272218326252,0,1,0,1,0,1,0.006875879506218041
2025-08-06,-0.002417405318291599,-0.040017086383317475,38.07106598984776,0.27661045800308526,1,1,0,1,1,1,0.00032951549859094875
2025-08-07,-0.044830371567043725,-0.04137487076448891,24.867724867724903,3.368468473080408,1,1,1,1,0,1,0.006860751729386605
2025-08-08,-0.009725158562367775,-0.04546123289686631,16.556291390728532,0.4699874364830291,0,0,0,1,1,0,-0.008889791405782832
2025-08-11,-0.0076857386848848686,-0.053777019227923474,15.92356687898095,0.3947085017606604,1,0,1,0,0,0,0.0019350505958817266
2025-08-12,0.022805507745266906,-0.057358438184756604,22.580645161290363,1.50771473110651,0,0,1,1,0,0,0.0025902320984287908
2025-08-13,0.02397980647875464,-0.05711868624035806,30.03533568904595,0.6884128207431643,0,0,0,1,0,0,0.02580140734949188
